Title	Price	City	Location	Microlocation	Street	Type	Area	Rooms	Poster	Heating	Furnished	Floor	FloorTotal	PaymentType	Additional	Other	Description	PostingId	PostingDate
Dukatska, Braće Jerković, 1.5 stan, izdavanje	450 €	Beograd	Opština Voždovac	Vojvode Vlahovića	Dukatska	stan	38,50 m2	1.5	Vlasnik	Mermerni radijatori	namešteno	4	4	na 6 meseci	['Odmah useljiv', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima']	Predstavljamo vam svetao jednoiposoban stan odlične funkcionalnosti prostorija. Zgrada je na dobroj lokaciji sa prodavnicom u istoj. Zaklonjena od gradske guzve.  Stan je potpuno namešten, kao na fotografijama. Slobodan parking, koji nije u naplatnoj zoni se moze naci oko zgrade.	5425646839394	02.03.2026. u 23:08
Dvosoban stan, Bulevar Zorana Djindjica	650 €	Beograd	Opština Novi Beograd	Blok 3	Bulevar Zorana Đinđića	stan	55 m2	2.0	Vlasnik	CG	namešteno	3	9	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Parking']	Stan komoletno renoviran, u odlicnom stanju. Dobro opremljen.	5425646672130	02.03.2026. u 22:46
Jednosoban stan – Blok 61, Novi Beograd	420 €	Beograd	Opština Novi Beograd	Blok 61	Dušana Vukasovića	stan	30 m2	1.0	Vlasnik	CG	namešteno	5	11	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente', 'Dozvoljeni kućni ljubimci']	['Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon']	Izdaje se funkcionalan i uredan jednosoban stan u Bloku 61, na odličnoj lokaciji sa kompletnom infrastrukturom u neposrednoj blizini (prodavnice, škole, vrtići, prevoz, pijaca). Stan je svetao i lepo održavan, sastoji se od: • dnevne sobe sa dve garniture na razvlačenje • trpezarijskog dela • odvojene kuhinje • kupatila sa kadom • hodnika Stan je kompletno namešten i opremljen (frižider, šporet, veš mašina, klima uređaj, TV). Grejanje je centralno. Troškovi mesečno oko 90 EUR. Idealan za jednu osobu ili par. Odmah useljiv.	5425646840549	02.03.2026. u 22:37
Zemun.Nova Galenika 2.0 50m2	400 €	Beograd	Opština Zemun	Galenika	Jovana Stojsavljevića	stan	50 m2	2.0	Agencija	CG	namešteno	1	5	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit']	['Terasa', 'Lift', 'Topla voda']	agencijska provizija je 50% od prve kirije	5425646489300	02.03.2026. u 22:12
Mirjevo kod poste 1.0	350 €	Beograd	Opština Zvezdara	Mirijevo	16. oktobra	stan	30 m2	1.0	Vlasnik	CG	namešteno	1	4	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za nepušače']	['Klima', 'Interfon']	jednosoban  stan, kompletno namesten, renoviran, nov namestaj, nova kuhinja. Dnevni boravak sa kuhinjom, i spavaca soba. Kod poste u Mirjevu. Prvi sprat od ukupno 4.     bus 27, 27e, 46, 63, 20, 79, E6 tel .064/1228301	5425646838718	02.03.2026. u 21:48
Novogradnja, sa garažnim mestom, preko puta ATŠ-a	700 €	Beograd	Opština Zvezdara	Cvetkova pijaca	Radojke Lakić	stan	48 m2	2.0	Vlasnik	CG	namešteno	5	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	For nonsmokers and wothout pets	5425636811210	02.03.2026. u 20:49
Rent oneroom apartment Vracar Sazonova street	500 €	Beograd	Opština Vračar	Crveni krst	Sazonova	stan	37 m2	1.0	Agencija	CG	namešteno	VPR	4	mesečno	['Odmah useljiv', 'Depozit']	['Lift', 'KATV', 'Internet', 'Interfon']	One-room apartment for rent in Sazonova street in Vracar. The apartment has a room with a kitchen and a bathroom. The apartment has central heating. The apartment is on the high ground floor of a newly built building.  The apartment is available for occupancy on March 11.  Contact person +381694288858	5425646840152	02.03.2026. u 20:40
Namešten, nov stan u Mirijevu, Zvezdara	400 €	Beograd	Opština Zvezdara	Mirijevo	Milica od Macve 28	stan	42 m2	2.0	Vlasnik	EG	namešteno	2	3	mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Interfon']	Stan je novogradnja. Odmah je useljiv. Bez kućnih ljubimaca. Parking mesto je rezervisano, ali je doplata za parking mesto 50€.	5425646112444	02.03.2026. u 20:39
Izdajem 1.5 stan Blagoja Parovica 8A Banovo brdo	500 €	Beograd	Opština Čukarica	Banovo brdo	8A Blagoja Parovića	stan	37 m2	1.5	Vlasnik	Gas	namešteno	3	6	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Francuski balkon', 'KATV', 'Interfon']		5425645983570	02.03.2026. u 20:21
Koste Stojanovića, Lux izdavanje, 4.0	3.500 €	Beograd	Opština Stari grad	Skupština	Koste Stojanovića	stan	150 m2	4.0	Agencija	CG	namešteno	1	4	mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Francuski balkon', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Predstavljamo vam izuzetan stan, nedavno opremljen u kome niko nije boravio. Centralni deo stana zauzima prostrani dnevni boravak sa trpezarijom, kuhinjom i terasom, dok su spavaće sobe sa pripadajućim kupatilima i garderoberima odvojene hodnikom sa prostorijom za vešernicu. Stan odiše elegancijom, brojnim francuskim balkonima, upotpunjen pažljivo biranim dizajnerskim detaljima, italijanskim nameštajem i najkvalitetnijom belom tehnikom. U okviru zgrade se nalazi privatna Spa zona, recepcija i garaža. 2 parking mesta u okviru garaže su uračunata u cenu zakupa. 1 depozit.	5425646839374	02.03.2026. u 19:56
Bw-Scala-Lux	1.350 €	Beograd	Opština Savski venac	Beograd na vodi	Luke Ćelovića Trebinjca	stan	75 m2	3.0	Agencija	CG	namešteno	5	11	mesečno	['Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Garaža']	Garazno mesto uz doplatu od 100e.	5425645218394	02.03.2026. u 19:31
Lux opremljen nov stan na ekstra lokaciji	650 €	Beograd	Opština Voždovac	Pašino brdo	Rade Končara	stan	50 m2	2.5	Vlasnik	Podno	namešteno	1	4	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače', 'Za studente']	['Klima', 'Lift', 'Topla voda', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor']	Luks opremljen nov stan sa dve odvojene spavace sobe. Moze boraviti cetvoročlana porodica. Odlicna lokacija, dve stanice od Kalenic Pijace. Odmah useljiv 0669610068 ( parking mesto u garazi uz doplatu) Moguce i izdavanje za poslovni prostor uz dogovor.	5425645413521	02.03.2026. u 19:24
Tolstojeva lux ID#9743	2.700 €	Beograd	Opština Savski venac	Dedinje	Tolstojeva	stan	200 m2	5.0	Agencija	Gas	namešteno	1	1	mesečno	['Depozit']		"Ovaj luksuzni duplex nalazi se u najlepšoj ulici na Dedinju. U neposrednoj blizini ambasada,internacionalnih škola,vrtića,stranih kompanija... Mirna i prelepa ulica koja vodi do,,hajd parka"". Po strukturi petosoban. Čine ga na prvom nivou: Ulazni hodnik,toalet,kuhinja,trpezarija, jedna spavaća soba,prostran dnevni boravak koji izlazi na prelepu terasu sa božanstvenim pogledom. Drugi nivo čini spacaći blok Sa još četiri sobe ,kupatilom,od kojih je jedna master soba sa radnim delom,garderoberom i kupatilom. Iako velike kvadrature računi su vrlo povoljni. Poseduje dva garazna mesta kao i parking ispred kuće. Izdaje se na 6(šest meseci) POČEV OD MAJA. agencijska provizija 50%"	5425646778772	02.03.2026. u 19:22
Novi Beograd, Blok 62, stan, 1.0, 38m2	600 €	Beograd	Opština Novi Beograd	Blok 62	Vojvođanska	stan	38 m2	1.0	Vlasnik	CG	namešteno	3	4	mesečno	['Depozit', 'Za nepušače']	['Terasa', 'Klima', 'KATV', 'Internet', 'Interfon']	Izdaje se moderno opremljen jednosoban stan površine 38m2 u bloku 62. Stan je na III spratu bez lifta. Stan je svetao, uredan i i opremljen kvalitetnim nameštajen i tehnikim. Funkcionalno je organizovan sa kompletno opremljenom kuhinjom.	5425646822277	02.03.2026. u 18:56
BW Sensa lux stan izdavanje sa garaznim mestom	1.700 €	Beograd	Opština Savski venac	Beograd na vodi	Luke Ćelovića Trebinjca	stan	84 m2	3.0	Agencija	CG	namešteno	4	8	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Garaža', 'Parking']	U prilici smo da Vam ponudimo fantastican, nov,   neuseljavan stan u novoj zgradi Sensa. Stan se sastoji od dve spavace sobe i kompletno je namesten najmodernijim namestajem. Takodje garazno mesto je ukljuceno u cenu stana. Depozit je obavezan, stan je odmah useljiv. 	5425646531893	02.03.2026. u 18:41
Zemun Polje, novogradnja, kompletno opremljen	500 €	Beograd	Opština Zemun	Zemun polje	Franje Krča	stan	65 m2	2.5	Agencija	TA		2	2		['Odmah useljiv']	['Terasa', 'Klima']	- Odmah useljiv,  - Kompletno opremljen,  - Funkcionalan dvoiposobanstan,  - Dvostrano orijentisan,  - Izuzetno svetao,  - Dodatnih 29 m2 ostave u tavanskom prostoru,  - Okruženje sa puno zelenila i parkova,  - Niski režijski troškovi,  - Zgrada održavana,  - Slobodan parking oko zgrade,  - Blizina mnoštva linija gradskog prevoza, koji pružaju odličnu povezanost sa svim delovima grada,  -U blizini vrtića, osnovne škole, marketa I svih ostalih sadržaja neophodnih za ugodan život.  Agencijska nadoknada iznosi 50%.	5425646771285	02.03.2026. u 18:41
BW Residences Lux izdavanje pogled na reku	3.500 €	Beograd	Opština Savski venac	Beograd na vodi	Hercegovačka	stan	147 m2	4.0	Agencija	CG	namešteno	13		mesečno	['Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	U prilicii smo da Vam ponudimo fantastican stan od 147m2 u zgradi Residence. Stan ima predivan pogled direktno na reku Savu i Kulu. Stan je opremljen luksuznim namestajem, u svakoj prostoriji su kristalni lusteri sto dodaje dodatnu notu luksuza. Stan se sastoji od velikog dnevnog boravka, trpezarije, kuhinje, tri spavace sobe kao i tri kupatila. Stanarima je na raspolaganju zatvoreni bazen kao i teretana. U cenu stana je ukljuceno garazno mesto, depozit je obavezan. Stan je slobodan od februara meseca. 	5425644638978	02.03.2026. u 18:40
Beograd na vodi, BW Kings Park, 2.0. LUX, Useljiv	1.300 €	Beograd	Opština Savski venac	Beograd na vodi	Luke Ćelovića Trebinjca	stan	55 m2	2.0	Agencija	CG	namešteno	3	15		['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Topla voda', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	U prilici smo da vam ponudimo izuzetan dvosoban u zgradi BW King's Park. Stan se nalazi na 3.spratu zgrade i strukturno je dvosoban. Sastoji se od: ulaznog hodnika, prostrane dnevne sobe koja izlazi na terasu, kuhinje sa trpezarijom, spavaće sobe, kupatila sa tuš kabinom i vešernice. Uz stan se izdaje i parking mesto koja se nalazi u garaži u sklopu same zgrade po ceni od 100 eur. Ovaj ekskluzivan stan odiše elegancijom i osećajem za detalje već na prvi pogled i izdaje se potpuno opremljen i odmah je useljiv. Zgrada je smeštena nadomak Savskog parka koji predstavlja produžetak zgrade, dok se sa druge strane nalazi uređeno unutrašnje dvorište namenjeno stanarima. BW King's Park Residences je zgrada od 15 spratova i projektovana je da zadovolji sve kriterijume ekskluzivnosti i udobnosti. Zgrada poseduje lobi sa recepcijom i obezbeđenjem. Pored toga što je novim saobraćajnicama povezana sa ključnim delovima grada, BW King's Park je smeštena u zeleno okruženje. Izgled same zgrade savršeno se uklapa u zeleno okruženje i predstavlja moderan život okružen prirodom. Pored sadržaja za rekreaciju i odmor, stanari na samo par koraka od svog stana imaju i prodavnice, restorane i kafiće u prizemlju zgrade, zgrada se takođe nalazi pored prve dvojezične državne škole i vrtića. Nedaleko od zgrade nalaziće se i stanica metroa na kojoj će se ukrštati obe buduće gradske linije. Depozit u visini jedne mesečne kirije je obavezan. Agencijska provizija iznosi 50% od prve mesečne kirije. Za više informacija slobodno nas kontaktirajte. 0637847903 0698900315	5425646838687	02.03.2026. u 18:23
Stan 82m2 na Lionu ID#2471	700 €	Beograd	Opština Zvezdara	Lion	Bulevar Kralja Aleksandra	stan	85 m2	3.0	Agencija	CG	namešteno	4	8	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Za pušače', 'Za nepušače', 'Za studente']	['Terasa', 'Klima', 'Lift', 'Internet', 'Interfon', 'Parking']	Izdaje se četvorosoban stan – Bulevar kralja Aleksandra (Lion) Izdaje se prostran i kompletno renoviran stan površine 82 m², smešten na atraktivnoj lokaciji na Bulevaru kralja Aleksandra – naselje Lion. Stan je idealan za porodično stanovanje i izdaje se na duži vremenski period. Struktura stana: Prostrana dnevna soba Trpezarija i kuhinja u otvorenom konceptu Odvojen spavaći blok sa: dve spavaće sobe kupatilom garderoberom Terasa Stan je u potpunosti renoviran, svetao i funkcionalno organizovan. Obezbeđen je i slobodan parking u okviru zgrade Troškovi: Infostan: 20.000 RSD Internet: 4.000 RSD Kontakt: Đorđe – +381 64 822 9993 Napomena: Agencijska provizija iznosi 50% od prve mesečne zakupnine.	5425646533015	02.03.2026. u 18:07
Zemun,Novi grad	350 €	Beograd	Opština Zemun	Novi grad	Branka Plećaša	stan	50 m2	2.5	Vlasnik	TA	namešteno	1	1	mesečno	['Odmah useljiv', 'Depozit']	['Klima']	Lep,funkcionalan stan u Zemunu. Dnevna soba sa kuhinjom,velika spavaca soba i mala soba u potkrovlju.	5425646794941	02.03.2026. u 17:51
Kalenić-Baba Višnjina-Lux ID#43244	2.000 €	Beograd	Opština Vračar	Kalenić pijaca	Baba Višnjina	stan	144 m2	4.0	Agencija		namešteno	3	5	mesečno	['Nije poslednji sprat', 'Depozit']	['Terasa', 'Klima', 'KATV', 'Internet', 'Interfon', 'Garaža']	Garažno mesto uz doplatu od 200e. Agencijska provizija 50%	5425646839171	02.03.2026. u 17:45
U Beogradu Zvezdara Bulbulder izdajem dva stana	399 €	Beograd	Opština Zvezdara	Bulbulder	Mariborska	stan	3.120 m2	1.0	Vlasnik	EG	namešteno	PR	2	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Za nepušače']	['Klima', 'Topla voda', 'KATV', 'Internet', 'Video nadzor', 'Parking', 'Sa baštom']	U Beogradu Zvezdara Bulbulder siri centar grada vlasnik izdaje studio od 30 m2 i dvodoban stan od 50 m2 na mesecnom nivou Studio komlet namesten sporet frizider klima tv Dvosoban stan komplet namesten sporet frizider masina za ves masina za sudove klima tv Cena je sa svim racunima struja infostan kablovska internet za studio je 399,00 E a za dvosoban stan 499,00 E Depozit je 399,00 E za studio a za dvosoban stan 499,00 E Parking za oba stana je uracunat u cenu Poseduje dva najbollja Wi Fi interneta i SBB kablovsku televiziju tv uredjaj Parking mesta se nalaze ispred svakog stana i otvaraju se daljinskim upravljacem Samo za ozbiljne ciste ,uredne i pazljive stanare Svaka steta u stanu se odmah placa ne vezano za depozit Nije dozvoljeno pusenje u stanu Nisu dozvoljeni kucni ljubimci Nije dozvoljeno davati stan ili deo stana u pod zakup Placanje unapred i kes placanje Vladimir.	5425646530257	02.03.2026. u 17:34
Izdaje se stan na Autokomandi 33m2 + 22m2 terasa	400 €	Beograd	Opština Voždovac	Autokomanda	Admirala Vukovića	stan	33 m2	1.0	Vlasnik	Gas	namešteno	1	3	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit', 'Za nepušače']	['Terasa', 'Klima', 'Topla voda', 'KATV', 'Internet', 'Interfon', 'Video nadzor']	Izdaje se luksuzan stan – Autokomanda (Admirala Vukovića)  Izdaje se kompletno renoviran stan površine 33m² + čak 22m² prostrane terase na odličnoj lokaciji kod Autokomande, u ulici Admirala Vukovića.  Stan je u lux stanju, potpuno renoviran, sređen sa ukusom i bez dodatnih ulaganja. Idealan za jednu osobu kojima želi komfor i odličnu povezanost sa gradom.  Izuzetna lokacija – blizina autoputa, Slavije, Hrama, VMA, fakulteta i svih važnih sadržaja Video interfon Ceо objekat pod video nadzorom – maksimalna sigurnost Velika terasa od 22m² – savršena za uživanje, odmor ili rad na otvorenom  Mesečni troškovi su samo 100€, i u njih spada: ✔️ Grejanje (toplana) ✔️ Voda ✔️ Struja ✔️ Infostan ✔️ Kablovska televizija ✔️ Internet  Retko u ponudi – stan sa ovakvom terasom i na ovoj lokaciji.  Za više informacija i razgledanje – pozovite.	5425646838661	02.03.2026. u 16:56
Luksuzan stan u Novom Beogradu – Zgrada “Petica”	850 €	Beograd	Opština Novi Beograd	Blok 63	Jurija Gagarina 76 Ž	stan	50 m2	2.0	Vlasnik	CG	namešteno	4	9	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače']	['Terasa', 'Klima', 'Lift', 'Topla voda', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor']	"U ponudi izuzetno lepo sređen stan u luksuznom stambeno-poslovnom objektu ""Petica"" (Blok 63, Novi Beograd). Odlikuje se modernim dizajnom, poseduje jednu spavacu sobu,dnevi prostor, prostrano opremljeno kupatilo,prostranu terasu, CG po utrošku, kablovska.Idealno za udoban život na atraktivnoj lokaciji. Sa sopstvenim dvorištem uređenim, fontanom, kao i dečijim igralištem. Stan je kompletno lux namešten Ključne karakteristike: • Lokacija: Blok 63, Novi Beograd, Kompleks Petica. • Struktura: dvosoban (1 spavaca soba, dnevna soba, kuhinja,kupatilo). • Opremljenost: Potpuno opremljen nameštajem i tehnikom. • Grejanje: CG po utrosku • Zgrada: Novogradnja, lift, obezbeđenje.  Stan nudi vrhunsku udobnost i funkcionalnost u modernom stambeno-poslovnom objektu."	5425646838655	02.03.2026. u 16:37
Novi Beograd, Blok 65,novogradnja	800 €	Beograd	Opština Novi Beograd	Blok 65	Tadije Sondermajera	stan	62 m2	2.0	Agencija	CG	polunamešteno	3	9	mesečno	['Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Odlican stan u novogradnji, opremljena kuhinja, klima, terasa, mogucnost doplate za garazno mesto, pogodan za zivot ili poslovni prostor. 0693755500	5425646794019	02.03.2026. u 16:28
Izdaje se komforan stan kod Stud.grada ID#19092	450 €	Beograd	Opština Novi Beograd	Blok 34 (Carina - Studentski grad)	Bulevar Zorana Đinđića	stan	55 m2	2.0	Agencija	CG	polunamešteno	4	8	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon']	Izdaje se dvosoban komforan stan u blizini Studentskog grada i Carine.Odmah useljiv,svetao,čist i okrečen.Lepa velika terasa sa pogledom na park.Infostan je oko 12000 dinara.Izdaje se ozbiljnim zakupcima na duži period,poželjno našim zakupcima,bračni parovi i porodice imaju prednost. Agencijska provizija 50% od prve zakupnine.	5425646808353	02.03.2026. u 16:07
Svetao, lep dupleks, centralno Dedinje ID 1662	950 €	Beograd	Opština Savski venac	Dedinje		stan	113 m2	4.0	Agencija	Gas	namešteno	2	3	mesečno	['Odmah useljiv', 'Duplex']	['Terasa', 'Klima', 'Internet', 'Interfon', 'Parking']	Povoljan duplex na odilčnoj lokaciji u centralnom delu Dedinja, Diplomatska kolonija. Stan ima 3 spavaće sobe i 2 kupatila. Prednost stana su mali troskovi. Grejanje je na gas.  Affordable duplex in an excellent location in the central part of Dedinje Diplomatska kolonija. The apartment has three bedrooms and two bathrooms. A key advantage of the apartment is its low operating costs. Heating is gas-powered. ID 1662	5425646531042	02.03.2026. u 16:05
Centar, renoviran, komforan, ID 20010	1.000 €	Beograd	Opština Stari grad	Centar	Nušićeva	stan	68 m2	2.0	Agencija	CG	namešteno	5		mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon']	Kompletno renoviran, komforan stan, potpuno opremljen, odvojena kuhinja sa trpezarijom, odvojena spavaća soba, odličan. Agencijska provizija za zakupca se plaća u iznosu od 50% + PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425645010347	02.03.2026. u 16:02
BW Verde, lux, novogradnja, garaža, ID 19832	1.600 €	Beograd	Opština Savski venac	Beograd na vodi	Bulevar Vudroa Vilsona	stan	83 m2	3.0	Agencija	CG	namešteno	20	23	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit', 'Za pušače']	['Terasa', 'Klima', 'Lift', 'Telefon', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža', 'Parking']	Komforan stan u luksuznoj zgradi unutar projekta Beograd na vodi, BW Verde. Stan se izdaje kompletno namešten kvalitetnim nameštajem i tehnikom, luksuzno je sređen, funkcionalan, poseduje dve spavaće sobe, od kojih je jedna soba master i poseduje sopstveno kupatilo, garažno mesto uračunato je u cenu. BW Verde poseduje jako lepo uređeno zajedničko dvorište koje dodatno obezbeđuje privatnost. Stanari zgrade imaju direktan pristup novom parku Beograd. Klimatizacija je putem multisplit sistema. Visina plafona 2.8m ima za ideju da istakne prefinjenost, eleganciju i prostranost prostorija, na šta dodatno utiču prozori od poda do plafona. Grejanje je po utrošku, povezano na gradsku toplanu. Zgrada poseduje recepciju i fizičko-tehničko obezbeđenje 24/7. Agencijska provizija za zakupca se plaća u iznosu od 50% + PDV dogovorene jednomesečne zakupnine za period zakupa u trajanju do 12 meseci	5425645178951	02.03.2026. u 16:01
Ekskluzivan lux stan,garaza,novogradnja	1.000 €	Beograd	Opština Vračar	Južni bulevar		stan	70 m2	3.0	Agencija	Toplotne pumpe	namešteno	3	5	mesečno	['Odmah useljiv', 'Nije poslednji sprat', 'Nije stan u kući', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	U ponudi ekskluzivan, moderno dizajniran stan površine 70m², smešten na 3. spratu nove, kvalitetno građene zgrade u ulici Gospodara Vučića. Stan je pažljivo osmišljen i funkcionalno organizovan, sa akcentom na komfor i savremen način života. Sastoji se od prostranog dnevnog boravka sa kuhinjom i trpezarijom u open space konceptu, dve komforne spavaće sobe, kupatila, zasebnog toaleta i terase. Enterijer je moderan, svetao i prijatan, idealan za miran i kvalitetan život. Garažno mesto u sklopu zgrade je uključeno u cenu zakupa, što dodatno doprinosi udobnosti i praktičnosti. Lokacija pruža odličnu povezanost sa svim delovima grada, kao i blizinu svih neophodnih sadržaja za svakodnevni život. Kućni ljubimci nisu dozvoljeni. Za sve dodatne informacije i zakazivanje razgledanja kontaktirajte Elite nekretnine tim: Telefon / WhatsApp / Viber: 0606689686 , 0638211760 , Broj u Registru posrednika: 337 Radno vreme: Radnim danima od 09:00h do 17:00h Agencijska provizija u skladu sa uslovima poslovanja.	5425646808146	02.03.2026. u 15:46
Stan kod Skupštine, 36 kvm	500 €	Beograd	Opština Stari grad	Skupština	Palmotićeva	stan	36 m2	1.0	Vlasnik	Norveški radijatori	namešteno	PSUT	5	mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Internet', 'Interfon']	Izdajem jednosoban stan u Palmotićevoj 100m od Skupštine u odličnom stanju.	5425645545439	02.03.2026. u 15:37
Potpuno nov 3.0 stan, garaža, New Minel, ID 1578	1.250 €	Beograd	Opština Novi Beograd	Tošin bunar		stan	63 m2	3.0	Agencija	CG	namešteno	5		mesečno	['Odmah useljiv', 'Depozit']	['Terasa', 'Klima', 'Lift', 'KATV', 'Internet', 'Interfon', 'Video nadzor', 'Garaža']	Moderan, potpuno nov 3.0 stan u kompleksu New Minel, na Novom Beogradu. Stan ima garažu.  Modern, brand-new three-bedroom apartment  in the New Minel complex, located in Novi Beograd. The apartment includes a garage. ID 1578	5425646713198	02.03.2026. u 15:33
Centar Brankova , prednost poslovna namena ID#1410	500 €	Beograd	Opština Stari grad	Zeleni venac	Brankova	stan	33 m2	1.5	Agencija	CG	polunamešteno	2	7	mesečno	['Nije poslednji sprat']		Izdaje se miran stan u Brankovoj ulici – prednost poslovna namena Izdaje se prijatan stan površine merene 35 m², smešten na drugom spratu zgrade sa liftom, u Brankovoj ulici. Iako se nalazi u samom centru grada, stan je orijentisan ka dvorištu zgrade, te je izuzetno miran i bez buke sa ulice. Stan se sastoji od dnevne sobe, manje kuhinje opremljene frižiderom i mini-rernom, kao i kupatila sa veš-mašinom. Polunamešten je, uredan i funkcionalan, i odmah useljiv. Pogodan je kako za stanovanje, tako i za poslovni prostor, uz prednost poslovne namene. Kućni ljubimci nisu dozvoljeni. Agencijska provizija 50% od jedne mesečne zakupnine Agent: Tamara Šljukić br. licence 2531 “Art nekretnine“ d.o.o. Beograd Reg. br.339 011/262-07-34 TŠ .	5425646796142	02.03.2026. u 15:21
Lux 4.0 stan od 135m2, Bulevar Oslobodjenja	2.100 €	Beograd	Opština Voždovac	Bulevar oslobođenja	Bulevar Oslobođenja	stan	132 m2	3.0	Agencija	CG	namešteno	2			['Odmah useljiv']	['Terasa', 'Lift', 'Parking']	Luksuzan četvorosoban stan površine 135m2 na Voždovcu u ulici Bulevar Oslobodjenja, na 2. spratu.  Stan je kompletno opremljen nameštajem i tehnikom.  Sastoji se od prostrane dnevne sobe otvorenog koncepta povezane sa kuhinjskim i trpezarijskim prostorom, dve spavaće sobe, (jedna je master), treća soba je garderober, ali ima opciju da se pretvori u spavaću po potrebi zakupca, dva kupatila, toalet i dve terase.  Uz stan je moguće iznajmiti čak 2 parking mesta. Cena je 100e po parking mestu.  Za sve informacije pozovite. Agencijska provizija iznosi 50% od cene prve mesečne zakupnine.	5425646826353	02.03.2026. u 15:16
